file,text,taxa,prob
09596830094971.pdf,Sphagnum,Sphagnum,1
09596830094971.pdf,Sphagnum peats,Sphagnum,0.7151023745536804
09596830094971.pdf,sheep,sheep,1
09596830094971.pdf,Rubus chamaemorus,Rubus chamaemorus,1
09596830094971.pdf,heather,C. heatherae,0.7773464322090149
09596830094971.pdf,Eriophorum,Eriophorum,1
09596830094971.pdf,Calluna vulgaris,Calluna vulgaris,1
09596830094971.pdf,Rubus chamaemorus L.,Rubus chamaemorus L.,1
09596830094971.pdf,Eriophorum bog,Eriophorum,0.7881024479866028
1-s2.0-003807179500092S-main.pdf,Dairy cow,dairy cow,1
1-s2.0-003807179500092S-main.pdf,Heifer,L. theifer,0.7587088346481323
1-s2.0-003807179500092S-main.pdf,Steer,P. steeri,0.8202270269393921
1-s2.0-0038071795001867-main.pdf,Perennial ryegrass sward,perennial ryegrass,0.8703229427337646
1-s2.0-0038071795001867-main.pdf,earthworms,earthworms,1
1-s2.0-0038071795001867-main.pdf,blueberry,bog blueberry,0.8759629726409912
1-s2.0-026974919500009G-main.pdf,ryegrass,Italian ryegrass,0.8316583633422852
1-s2.0-026974919500009G-main.pdf,Lolium perenne L.,Lolium perenne,0.9411067366600037
1-s2.0-026974919500009G-main.pdf,sheep,sheep,1
1-s2.0-026974919500009G-main.pdf,Methane,Methana,0.7570738196372986
1-s2.0-S001670611200119X-main.pdf,ryegrass,Italian ryegrass,0.8316583633422852
1-s2.0-S001670611200119X-main.pdf,Lolium perenne,Lolium perenne,1
1-s2.0-S001670611200119X-main.pdf,Lolium perenne L.,Lolium perenne,0.9411067366600037
1-s2.0-S001670611200119X-main.pdf,white clover,white clover,1
1-s2.0-S001670611200119X-main.pdf,Trifolium repens,Trifolium repens,0.9999998807907104
1-s2.0-S001670611200119X-main.pdf,perennial ryegrass,perennial ryegrass,1
1-s2.0-S0016706114001761-main.pdf,Figueroa,S. figueroai,0.7372168898582458
1-s2.0-S0016706114001761-main.pdf,Barea,Barea,1
1-s2.0-S0016706114001761-main.pdf,spent mushroom,common mushroom,0.728740930557251
1-s2.0-S0016706114001761-main.pdf,apple,apple,1
1-s2.0-S0016706114001761-main.pdf,wheat,wheat,1
1-s2.0-S0016706114001761-main.pdf,maize,maize,1
1-s2.0-S0016706114001761-main.pdf,Kautsky,P. kautskyi,0.783650279045105
1-s2.0-S0016706114001761-main.pdf,Thlaspi caerulescens,Thlaspi caerulescens,1
1-s2.0-S0038071703002992-main.pdf,red deer,red deer,1
1-s2.0-S0038071703002992-main.pdf,deer,deer,1
1-s2.0-S0038071703002992-main.pdf,sheep,sheep,1
1-s2.0-S0038071703002992-main.pdf,downy birch,downy birch,1
1-s2.0-S0038071703002992-main.pdf,Betula pubescens,Betula pubescens,1
1-s2.0-S0038071703002992-main.pdf,sessile oak,sessile oak,1
1-s2.0-S0038071703002992-main.pdf,Quercus petraea,Quercus petraea,1
1-s2.0-S0038071703002992-main.pdf,rowan,rowan,1
1-s2.0-S0038071703002992-main.pdf,Sorbus aucuparia,Sorbus aucuparia,1
1-s2.0-S0038071703002992-main.pdf,birch,monarch birch,0.8409400582313538
1-s2.0-S0038071703002992-main.pdf,paper birch,paper birch,1
1-s2.0-S0038071703002992-main.pdf,Betula papyrifera,Betula papyrifera,1
1-s2.0-S0038071703002992-main.pdf,Herbivory,Herbivorax,0.7609254717826843
1-s2.0-S0038071703002992-main.pdf,ungulates,C. ungulatus ungulatus,0.7396508455276489
1-s2.0-S0038071703002992-main.pdf,reindeer,reindeer,0.9999999403953552
1-s2.0-S0038071703002992-main.pdf,mountain birch,mountain birch,1
1-s2.0-S0038071703002992-main.pdf,Scots Pine,Scots pine,1
1-s2.0-S0038071703002992-main.pdf,heather,C. heatherae,0.7773464322090149
1-s2.0-S0038071703002992-main.pdf,herbivores,Herbivorax,0.7778589129447937
1-s2.0-S0038071703002992-main.pdf,Betula sp.,Betula sp.,1
1-s2.0-S0038071704003761-main.pdf,Wild boar,wild boar,1
1-s2.0-S0038071704003761-main.pdf,red deer,red deer,1
